iter,ticks_until_defeat,mage_dmg_percent,range_dmg_percent,proc_percent
7,140,56.6002490660025,43.39975093399751,34.24761904761905
2,132,57.8009828009828,42.1990171990172,33.40952380952381
5,140,60.52303860523038,39.47696139476962,34.24761904761905
8,124,55.2896725440806,44.7103274559194,34.93333333333333
9,136,63.19612590799032,36.803874092009686,32.49523809523809
11,128,50.94569859670531,49.054301403294694,32.990476190476194
10,148,48.97451833436917,51.02548166563082,33.371428571428574
3,124,58.068535825545176,41.93146417445483,34.285714285714285
14,128,55.59045226130653,44.40954773869347,34.78095238095238
6,132,57.5812274368231,42.418772563176894,32.114285714285714
12,148,48.888888888888886,51.11111111111111,32.95238095238095
1,148,55.161494616846106,44.838505383153894,34.51428571428571
4,140,62.69888037713612,37.30111962286388,30.78095238095238
15,164,64.45971267957526,35.54028732042474,32.91428571428571
13,148,65.68446899938613,34.31553100061387,32.60952380952381
16,140,63.6697247706422,36.3302752293578,33.14285714285714
20,116,58.56079404466501,41.43920595533499,34.78095238095238
21,132,59.643734643734646,40.35626535626536,33.40952380952381
27,128,60.67415730337079,39.325842696629216,34.4
23,124,58.12229771463867,41.87770228536134,33.75238095238095
19,144,59.62499999999999,40.375,33.714285714285715
24,116,51.90562613430127,48.09437386569873,33.21904761904762
18,136,52.20858895705521,47.79141104294479,33.33333333333333
22,124,51.37328339575531,48.6267166042447,34.4
29,124,59.70961887477314,40.29038112522686,32.457142857142856
25,140,51.79584120982986,48.20415879017013,34.97142857142857
17,148,59.11949685534591,40.88050314465409,34.095238095238095
26,140,59.332140727489566,40.667859272510434,31.542857142857144
32,136,50.72463768115942,49.275362318840585,34.97142857142857
28,152,54.21152628245726,45.78847371754275,34.51428571428571
30,136,54.692355500310754,45.307644499689246,34.13333333333333
31,132,49.87789987789988,50.12210012210012,33.02857142857143
33,132,51.23762376237624,48.76237623762376,33.86666666666667
35,136,61.53362664990571,38.46637335009428,34.81904761904762
39,124,57.571964956195245,42.428035043804755,34.55238095238095
38,140,54.05892964521948,45.941070354780514,32.076190476190476
36,128,55.924764890282134,44.075235109717866,34.66666666666667
40,144,58.42072794571253,41.57927205428747,32.91428571428571
42,124,59.635907093534215,40.364092906465785,34.74285714285714
44,120,53.13415348564734,46.86584651435267,31.16190476190476
46,124,54.88997555012225,45.11002444987775,33.1047619047619
37,148,57.276702061211736,42.72329793878826,33.67619047619048
34,140,52.77078085642317,47.22921914357683,34.93333333333333
41,136,55.77858880778589,44.22141119221411,32.800000000000004
48,140,46.25550660792951,53.74449339207048,34.8952380952381
43,132,50.87829360100377,49.12170639899623,34.7047619047619
47,124,60.77210460772105,39.22789539227895,34.24761904761905
49,120,58.92641737032569,41.073582629674306,33.02857142857143
45,144,51.730648206419126,48.26935179358087,34.13333333333333
51,120,55.746773202212665,44.253226797787335,34.20952380952381
50,124,50.542822677925216,49.45717732207479,32.266666666666666
54,140,53.86977886977887,46.13022113022113,33.40952380952381
52,136,51.44654088050314,48.55345911949686,34.85714285714286
55,120,53.5670356703567,46.4329643296433,34.24761904761905
