iter,time,mager_dmg,ranger_dmg
1,136,680,777
2,164,689,774
3,152,762,721
4,152,755,748
5,136,868,640
6,144,771,717
7,128,788,690
8,116,671,796
9,152,642,799
10,168,675,768
11,144,674,777
12,144,676,763
13,144,774,730
14,152,681,794
15,144,686,795
16,148,845,599
17,140,599,856
18,116,635,833
19,136,736,748
20,156,813,635
21,160,562,871
22,140,877,696
23,136,697,770
24,132,721,764
25,152,814,634
26,144,795,658
27,144,713,784
28,144,774,680
29,148,726,701
30,144,662,793
31,164,712,762
32,148,814,660
33,156,644,843
34,136,760,698
35,128,733,773
36,156,816,653
37,132,800,648
38,144,657,790
39,168,723,690
40,124,807,724
41,144,705,805
42,132,548,945
43,144,676,806
44,164,719,760
45,168,828,635
46,152,830,697
47,132,706,761
48,144,727,725
49,156,808,652
50,124,743,706
51,164,686,770
52,180,660,755
53,132,713,757
54,156,831,635
55,144,694,743
56,148,705,770
57,140,694,829
58,152,762,720
59,152,678,760
60,156,825,630
61,128,749,739
62,152,761,750
63,152,856,650
64,120,769,742
65,144,784,666
66,160,781,654
67,136,674,841
68,152,643,896
69,144,847,643
70,136,735,766
71,144,780,690
72,148,667,765
73,144,868,604
74,144,802,634
75,148,732,837
76,140,865,613
77,144,788,718
78,156,707,765
79,124,650,816
80,136,687,758
81,144,828,643
82,128,815,680
83,148,692,737
84,140,671,812
85,140,693,846
86,144,808,652
87,144,779,742
88,156,849,660
89,136,668,794
90,136,678,813
91,136,801,723
92,132,768,691
93,136,820,663
94,160,636,827
95,148,706,728
96,132,713,889
97,168,755,671
98,132,737,764
99,152,774,719
100,156,797,671
101,140,865,699
102,160,725,695
103,136,721,744
104,128,835,621
105,132,759,709
106,160,688,751
107,148,646,825
108,148,813,649
109,136,693,774
110,124,866,636
111,148,665,775
112,148,697,771
113,148,849,597
114,148,681,763
115,144,813,677
116,128,700,758
117,156,851,636
118,168,796,711
119,152,783,680
120,144,725,800
121,140,843,613
122,156,808,641
123,168,633,809
124,132,760,705
125,140,738,747
126,144,825,658
127,140,701,830
128,128,663,863
129,156,766,711
130,124,696,772
131,148,747,742
132,132,736,756
133,148,599,831
134,136,662,809
135,144,757,692
136,152,704,757
137,144,656,778
138,144,783,709
139,156,633,823
140,128,774,686
141,168,796,656
142,140,767,766
143,140,713,792
144,148,807,620
145,148,645,830
146,148,593,889
147,132,708,756
148,152,462,992
149,160,690,745
150,148,732,690
151,140,929,585
152,164,670,786
153,152,775,698
154,128,763,695
155,152,778,734
156,136,812,713
157,148,897,557
158,140,803,697
159,136,807,663
160,156,643,813
161,132,767,699
162,140,632,822
163,164,707,719
164,140,704,787
165,144,876,617
166,140,774,713
167,144,673,845
168,156,821,628
169,152,737,745
170,156,895,731
171,140,942,567
172,144,620,900
173,160,746,692
174,140,666,789
175,144,793,691
176,140,866,638
177,136,742,750
178,140,592,858
179,168,632,814
180,160,765,687
181,136,674,771
182,136,802,654
183,144,816,706
184,152,797,666
185,156,827,605
186,132,728,738
187,148,699,769
188,144,756,693
189,144,661,777
190,160,655,877
191,136,717,769
192,168,683,790
193,144,606,873
194,140,791,731
195,176,757,711
196,124,698,774
197,136,718,779
198,156,821,650
199,144,795,723
200,144,685,811
201,164,747,715
202,156,679,784
203,140,823,661
204,124,688,829
205,144,801,648
206,168,707,713
207,152,808,707
208,160,642,799
209,144,790,757
210,132,629,834
211,140,772,728
212,132,787,692
213,148,779,711
214,128,693,792
215,128,769,726
216,132,707,749
217,144,717,712
218,156,644,805
219,156,749,681
220,156,662,792
221,156,804,645
222,144,684,773
223,164,648,760
224,148,673,793
225,140,808,659
226,144,729,752
227,140,820,656
228,156,794,648
229,140,704,820
230,164,677,750
231,140,793,666
232,144,857,595
233,136,732,735
234,140,660,809
235,128,718,736
236,144,627,831
237,148,775,701
238,164,621,839
239,124,597,887
240,156,773,683
241,160,699,792
242,156,702,777
243,120,789,723
244,132,728,736
245,160,811,686
246,120,866,666
247,128,952,544
248,140,754,695
249,160,585,888
250,140,750,816
251,156,784,693
252,128,652,827
253,152,847,618
254,152,801,643
255,156,619,845
256,148,765,673
257,164,580,822
258,140,807,662
