iter,time,mager_dmg,ranger_dmg
1,140,876,629
2,144,735,748
3,152,753,725
4,148,636,815
5,140,684,809
6,144,612,814
7,152,758,676
8,152,718,747
9,148,573,942
10,156,837,633
11,140,751,712
12,160,683,760
13,144,668,756
14,144,684,768
15,144,647,802
16,132,831,648
17,168,783,700
18,156,714,737
19,148,681,775
20,144,680,769
21,144,740,712
22,160,815,641
23,124,671,859
24,176,894,554
25,156,681,760
26,148,643,808
27,168,639,819
28,148,752,683
29,136,814,651
30,136,768,688
31,160,664,773
32,136,750,719
33,144,747,795
34,172,665,767
35,124,709,752
36,148,777,657
37,168,699,757
38,140,637,809
39,148,748,719
40,156,823,649
41,132,735,745
42,168,730,720
43,144,669,838
44,152,709,745
45,132,749,700
46,144,789,660
47,152,746,701
48,164,705,774
49,156,863,579
50,156,821,652
51,140,740,728
52,152,833,638
53,152,641,882
54,168,752,719
55,168,822,606
56,144,648,825
57,160,799,675
58,132,774,689
59,128,687,762
60,140,765,758
61,156,749,740
62,164,710,757
63,128,779,701
64,168,817,681
65,168,766,663
66,136,771,706
67,136,659,849
68,156,625,806
69,148,726,727
70,136,567,896
71,128,689,788
72,132,617,831
73,140,789,716
74,152,710,754
75,136,659,816
76,144,767,671
77,144,798,633
78,152,726,743
79,132,685,781
80,144,796,643
81,144,540,908
82,156,839,619
83,160,802,634
84,152,833,601
85,144,777,725
86,140,816,640
87,136,748,718
88,148,746,723
89,144,771,670
90,148,614,827
91,160,694,740
92,188,585,861
93,148,747,678
94,160,624,827
95,136,848,679
96,152,921,613
97,156,626,826
98,144,692,765
99,148,837,628
100,144,768,684
101,148,700,759
102,124,878,583
103,172,664,787
104,144,707,749
105,164,875,569
106,132,598,871
107,144,759,679
108,136,673,781
109,148,708,764
110,132,633,829
111,160,893,539
112,148,731,753
113,168,625,791
114,168,694,744
115,144,704,836
116,164,599,821
117,132,744,847
118,156,721,711
119,136,654,842
120,148,604,825
121,144,790,673
122,160,635,807
123,140,821,654
124,132,868,593
125,168,733,721
126,168,674,681
127,156,666,800
128,160,650,777
129,160,851,649
130,136,711,762
131,136,757,738
132,144,670,769
133,172,651,822
134,156,744,704
135,140,841,643
136,152,803,648
137,160,668,778
138,160,768,716
139,156,818,676
140,144,746,730
141,136,798,656
142,168,761,670
143,136,712,733
144,148,661,826
145,136,695,782
146,152,719,714
147,132,723,740
148,164,652,842
149,152,720,760
150,144,829,680
151,148,771,701
152,156,750,723
153,156,696,750
154,128,804,652
155,144,799,716
156,156,684,793
157,180,894,525
158,148,733,710
159,148,808,623
160,176,688,776
161,160,686,784
162,136,757,757
163,152,670,760
164,140,684,771
165,164,714,727
166,120,809,676
167,140,797,663
168,160,660,801
169,160,630,840
170,136,734,788
171,136,764,722
172,140,793,667
173,156,648,798
174,152,614,817
175,160,724,760
176,128,751,782
177,156,718,741
178,160,590,861
179,144,845,605
180,192,785,643
181,164,739,684
182,168,744,678
183,156,720,731
184,148,795,688
185,148,589,864
186,152,606,828
187,152,741,700
188,148,838,589
189,152,623,817
190,144,725,728
191,124,736,766
192,124,864,631
193,156,872,644
194,164,692,738
195,168,801,614
196,160,843,592
197,156,768,690
198,144,793,687
199,144,796,680
200,136,791,697
201,144,721,734
202,156,722,752
203,132,731,720
204,128,655,798
205,144,808,714
206,132,733,729
207,144,520,962
208,144,727,722
209,152,739,732
210,128,809,642
211,160,678,786
212,148,713,766
213,144,771,687
214,144,789,647
215,132,785,690
216,168,737,758
217,136,786,685
218,140,703,757
219,144,669,790
220,152,667,768
221,148,751,741
222,148,828,623
223,164,866,629
224,136,656,797
225,144,765,720
226,128,570,909
227,132,735,734
228,144,807,726
229,152,740,769
230,160,671,803
231,148,819,611
232,144,743,734
233,144,704,719
234,160,820,626
235,140,667,821
236,148,790,702
237,156,827,632
238,144,831,657
239,168,750,723
240,152,714,764
241,184,787,732
242,160,802,716
243,148,604,905
244,152,801,641
245,144,682,752
246,132,665,790
247,136,666,792
248,148,729,719
249,148,748,718
250,144,768,695
251,156,635,803
252,168,679,750
253,132,768,752
254,164,875,574
255,124,816,651
256,136,784,687
257,148,663,820
258,140,715,745
259,144,819,665
260,164,641,802
261,160,873,617
262,124,804,656
263,160,693,789
264,144,708,758
265,148,797,727
266,168,708,821
267,136,757,723
268,136,702,776
269,124,714,744
270,132,757,762
271,144,705,718
272,120,711,805
273,132,807,693
274,148,664,791
275,152,788,643
276,168,643,796
277,140,909,593
278,136,919,580
279,136,671,796
280,144,677,761
281,132,562,911
282,152,846,591
283,160,821,629
284,148,789,657
285,168,844,619
286,164,682,742
287,128,789,690
288,132,795,736
289,152,717,723
290,152,738,693
291,156,797,647
292,156,686,778
293,164,674,778
294,148,729,757
295,144,776,663
296,132,805,643
297,156,610,856
298,164,785,648
299,160,734,723
300,156,650,798
301,136,796,738
302,156,733,715
303,144,791,638
304,156,771,695
305,156,785,668
306,156,765,705
307,148,747,717
308,128,773,728
309,156,772,735
310,156,709,753
311,132,687,759
312,136,853,685
313,136,762,719
314,152,807,687
315,136,636,834
316,148,733,725
317,168,696,770
318,148,799,691
319,132,911,567
320,140,553,929
321,160,859,620
322,164,649,803
323,144,685,770
324,156,684,750
325,148,757,741
326,148,680,758
327,148,827,670
328,144,691,768
329,152,722,729
330,148,768,693
331,144,792,730
332,136,745,748
333,136,734,791
334,140,675,783
335,140,661,842
336,168,792,705
337,128,692,781
338,148,705,761
339,132,647,850
340,128,755,706
341,128,728,774
342,124,741,722
343,144,811,630
344,156,605,902
345,172,723,693
346,136,686,788
347,156,740,754
348,144,710,752
349,164,779,646
350,156,649,790
351,136,679,766
352,144,912,546
353,164,678,810
354,144,710,774
355,140,705,775
356,132,697,754
357,148,797,746
358,148,796,643
359,124,779,725
360,148,734,711
361,172,743,698
362,148,841,669
363,144,706,736
364,140,890,586
365,136,660,816
366,160,695,735
367,148,814,647
368,148,787,646
369,136,701,768
370,172,664,768
371,136,679,766
372,152,637,806
373,164,637,789
374,140,755,762
375,144,891,598
376,152,711,737
377,164,764,712
378,136,775,683
379,148,790,656
380,132,735,735
381,184,737,697
382,144,716,762
383,116,830,646
384,136,871,593
385,128,799,774
386,144,804,636
387,144,769,663
388,136,743,719
389,144,843,586
390,156,786,718
391,168,688,755
392,152,682,749
393,164,727,777
394,160,701,794
395,164,646,803
396,168,713,712
397,136,751,726
398,176,610,859
399,136,855,597
400,156,625,838
401,160,741,701
402,148,777,656
403,152,899,619
404,140,670,781
405,164,628,783
406,148,818,660
407,140,776,669
408,144,848,660
409,152,714,730
410,148,718,732
411,156,701,798
412,136,646,835
413,136,617,891
414,164,756,771
415,116,789,716
416,128,683,810
417,144,712,753
418,136,726,724
419,132,815,695
420,160,784,651
421,144,737,704
422,164,766,673
423,132,808,670
424,148,804,651
425,152,724,787
426,144,693,739
427,144,716,719
428,164,873,562
429,136,589,866
430,152,801,735
431,156,764,667
432,128,666,807
433,152,750,706
434,136,738,731
435,152,663,784
436,144,805,692
437,152,847,585
438,140,811,698
439,168,813,636
440,160,857,589
441,144,690,781
442,232,1279,970
443,148,856,571
444,156,783,655
445,156,498,949
446,132,805,679
447,148,761,762
448,152,719,798
449,120,738,726
450,160,898,549
451,168,646,715
452,136,734,743
453,128,559,897
454,160,797,653
455,136,621,888
456,148,613,814
457,132,701,786
458,140,680,810
459,140,699,772
460,168,769,707
461,144,775,669
462,152,649,779
463,160,758,672
464,148,639,815
465,136,772,671
466,152,794,670
467,144,664,802
468,156,744,722
469,148,672,810
470,144,657,770
471,152,682,786
472,160,785,670
473,152,699,733
474,164,591,845
475,148,797,653
476,156,738,700
477,160,704,811
478,132,812,662
479,152,796,671
480,140,663,849
481,144,751,675
482,148,787,686
483,136,876,573
484,160,731,747
485,128,797,659
486,144,715,722
487,152,816,629
488,140,632,909
489,144,643,825
490,136,814,670
491,136,815,659
492,164,786,634
493,140,802,711
494,144,844,583
495,152,603,843
496,164,753,684
497,144,694,745
498,164,741,722
499,144,784,652
500,164,763,677
501,144,681,767
502,160,643,864
503,136,819,652
504,144,851,626
505,120,675,866
506,152,659,795
507,148,854,648
508,160,712,758
509,144,657,801
510,128,836,641
511,148,662,803
512,176,887,582
513,152,652,778
514,140,745,703
515,148,704,733
516,164,747,715
517,152,847,615
518,144,832,691
519,148,807,678
520,148,666,769
521,148,865,687
522,136,762,714
523,160,782,655
524,152,717,711
525,124,667,778
526,148,703,729
527,144,918,585
528,140,580,913
529,152,792,651
530,144,685,789
531,156,643,800
532,144,613,903
533,160,662,810
534,136,724,761
535,156,808,693
536,132,701,774
537,152,703,777
538,144,651,850
539,168,675,782
540,148,806,646
541,144,734,715
542,156,857,593
543,136,663,811
544,156,635,797
545,156,798,675
546,156,649,865
547,156,649,780
548,152,712,741
549,128,569,898
550,156,800,635
551,144,760,682
552,144,613,863
553,152,625,828
554,180,683,783
555,156,714,767
556,160,778,691
557,132,700,818
558,144,936,559
559,156,642,866
560,156,662,788
561,152,777,698
562,156,799,664
563,144,666,839
564,132,660,806
565,136,692,791
566,180,770,691
567,140,921,542
568,164,761,680
569,120,725,778
570,144,692,735
571,164,680,742
572,136,662,832
573,124,766,760
574,164,725,706
575,144,692,798
576,160,789,653
577,140,817,742
578,136,817,671
579,144,767,671
580,144,770,710
581,124,826,634
582,136,708,742
583,164,726,749
584,144,693,786
585,164,720,761
586,148,734,709
587,144,876,627
588,144,807,693
589,168,715,716
590,132,811,645
591,148,736,736
592,144,966,602
593,120,646,831
594,160,750,714
595,136,699,760
596,148,747,716
597,132,798,689
598,152,763,696
599,160,807,625
600,156,737,727
601,160,688,775
602,136,616,877
603,148,651,770
604,156,785,664
605,184,657,854
606,152,689,762
607,140,704,761
608,160,638,860
609,136,648,823
610,136,686,780
611,148,755,693
612,164,722,775
613,168,888,543
614,144,779,730
615,136,738,746
616,144,700,749
617,156,778,680
618,144,774,676
619,156,678,772
620,164,868,616
621,164,715,756
622,152,581,868
623,164,689,754
624,152,616,842
625,128,764,721
626,164,799,673
627,164,717,762
628,156,632,832
629,152,654,797
630,128,775,686
631,152,822,609
632,164,725,706
633,132,783,693
634,168,730,698
635,156,845,649
636,144,775,665
637,152,674,756
638,132,762,697
639,144,864,577
640,148,668,814
641,152,695,764
642,144,667,845
643,136,757,685
644,136,732,727
645,160,671,838
646,160,658,804
647,144,769,729
648,152,715,744
649,156,636,813
650,128,804,655
651,136,760,718
652,136,688,822
653,144,599,888
654,152,785,664
655,148,668,772
656,132,722,745
657,152,752,721
658,152,721,722
659,136,605,923
660,144,892,567
661,156,924,508
662,148,591,860
663,156,682,781
664,136,877,584
665,128,654,827
666,156,786,651
667,116,790,693
668,164,604,839
669,164,667,788
670,136,737,786
671,136,716,792
672,136,610,857
673,140,711,748
674,160,870,581
675,144,583,869
676,144,726,743
677,164,709,747
678,164,834,611
679,172,675,804
680,140,695,780
681,144,696,749
682,144,664,786
683,168,832,618
684,148,653,793
685,148,634,797
686,148,702,762
687,168,724,685
688,152,805,624
689,140,767,689
690,148,754,708
691,144,771,690
692,156,814,701
693,156,809,674
694,144,780,767
695,152,730,722
696,128,640,825
697,144,652,802
698,124,704,767
699,148,727,803
700,152,676,766
701,164,745,721
702,144,683,780
703,144,772,721
704,184,709,714
705,148,689,782
706,128,734,766
707,144,777,668
708,136,746,714
709,156,821,662
710,152,784,673
711,152,753,681
712,120,669,844
713,152,668,774
714,144,484,950
715,140,834,688
716,132,711,743
717,140,670,783
718,148,849,656
719,148,700,727
720,152,649,798
721,136,797,702
722,144,633,847
723,164,722,714
724,160,809,661
725,176,691,757
726,184,709,739
727,136,768,769
728,144,682,788
729,144,849,600
730,140,816,646
731,144,685,786
732,128,704,800
733,148,941,525
734,156,845,624
735,144,841,691
736,144,776,697
737,152,696,746
738,144,643,806
739,164,734,706
740,160,833,596
741,156,761,705
742,176,633,779
743,136,838,615
744,144,790,664
745,140,610,858
746,132,651,816
747,160,759,691
748,136,848,636
749,164,740,733
750,136,691,788
751,144,957,539
752,156,704,749
753,168,687,760
754,152,763,677
755,136,691,766
756,140,788,655
757,128,764,682
758,164,819,640
759,144,633,830
760,152,686,747
761,164,655,823
762,144,653,791
763,152,744,729
764,140,838,644
765,152,710,775
766,180,724,744
767,148,775,680
768,144,725,728
769,144,770,678
770,156,635,869
771,140,656,845
772,140,762,703
773,160,602,837
774,152,715,730
775,140,746,741
776,148,842,658
777,168,543,919
778,148,855,587
779,152,849,639
780,128,645,809
781,140,729,780
782,172,765,620
783,136,712,746
784,144,878,568
785,136,721,732
786,136,787,722
787,164,620,836
788,164,747,687
789,124,795,715
790,156,651,792
791,132,704,884
792,148,897,585
793,168,711,757
794,160,681,805
795,148,773,713
796,188,647,735
797,168,749,687
798,136,653,801
799,132,789,733
800,152,689,760
801,144,691,748
802,132,716,738
803,136,816,715
804,152,697,733
805,152,754,714
806,164,771,702
807,140,769,688
808,160,700,800
809,152,689,758
810,184,573,813
811,128,773,695
812,140,657,811
813,156,768,676
814,144,667,763
815,128,684,783
816,136,677,798
817,148,626,841
818,144,632,814
819,160,817,637
820,120,828,685
821,140,758,707
822,132,754,740
823,180,766,593
824,148,658,765
825,160,704,744
826,152,683,766
827,164,728,728
828,112,820,652
829,148,760,696
830,152,788,649
831,156,745,720
832,120,816,668
833,136,794,661
834,164,741,712
835,140,785,670
836,148,755,670
837,144,855,600
838,152,874,570
839,164,736,679
840,148,735,818
841,140,795,701
842,152,729,717
843,148,702,779
844,148,678,749
845,136,600,886
846,144,591,869
847,164,900,542
848,156,670,809
849,160,716,721
850,140,815,637
851,160,880,605
852,136,636,830
853,136,832,646
854,120,638,836
855,156,742,689
856,132,670,798
857,160,720,773
858,152,776,709
859,164,683,767
860,144,711,806
861,172,606,823
862,164,758,672
863,148,675,813
864,148,856,638
865,144,861,593
866,132,903,563
867,152,852,580
868,144,710,729
869,148,753,727
870,144,710,771
871,124,707,768
872,180,815,548
873,152,593,853
874,152,770,732
875,168,704,748
876,164,763,652
877,132,801,677
878,184,711,664
879,136,716,772
880,168,625,870
881,144,763,714
882,176,762,682
883,144,727,692
884,124,649,883
885,128,867,594
886,156,748,742
887,124,825,660
888,156,694,769
889,128,775,699
890,148,746,711
891,140,845,647
892,140,757,705
893,136,805,663
894,168,679,780
895,140,766,753
896,144,733,739
897,148,726,742
898,140,677,776
899,164,607,850
900,144,851,583
901,128,855,596
902,140,625,829
903,136,660,882
904,148,632,906
905,144,648,820
906,128,764,716
907,156,724,757
908,140,660,797
909,164,752,683
910,120,838,706
911,136,850,620
912,156,821,639
913,152,753,702
914,148,846,590
915,144,699,741
916,144,768,676
917,152,778,663
918,160,940,506
919,160,735,714
920,164,713,779
921,136,760,701
922,144,645,822
923,140,761,703
924,164,653,826
925,152,836,624
926,144,703,727
927,136,719,776
928,148,817,696
929,168,735,704
930,168,669,732
931,128,900,612
932,172,554,811
933,128,633,860
934,152,663,819
935,144,741,691
936,148,766,696
937,148,789,672
938,144,622,866
939,148,615,862
940,164,864,575
941,148,785,675
942,132,692,768
943,152,728,717
944,140,827,694
945,160,807,657
946,140,750,696
947,140,619,864
948,148,711,771
949,132,716,778
950,140,757,727
951,160,827,681
952,156,638,798
953,136,637,827
954,156,787,653
955,168,544,887
956,144,867,609
957,164,615,808
958,180,883,547
959,124,706,744
960,156,811,658
961,148,746,688
962,152,836,613
963,168,740,709
964,136,738,712
965,148,832,621
966,164,904,560
967,148,689,870
968,152,789,639
969,156,502,938
970,160,665,807
971,164,726,770
972,144,612,820
