iter,time,mager_dmg,ranger_dmg
1,164,739,732
2,148,840,621
3,140,870,632
4,144,690,770
5,152,642,814
6,124,760,755
7,124,752,726
8,156,665,838
9,144,801,630
10,148,756,710
11,148,647,784
12,168,693,764
13,132,877,588
14,152,752,738
15,168,680,795
16,148,722,715
17,148,678,793
18,152,806,649
19,152,720,787
20,152,719,724
21,144,805,687
22,152,720,740
23,168,637,776
24,164,756,727
25,144,688,799
26,144,660,865
27,156,691,752
28,156,749,725
29,156,811,645
30,144,654,773
31,144,724,718
32,136,718,784
33,136,710,743
34,144,833,603
35,148,668,837
36,152,639,853
37,136,626,846
38,128,825,674
39,132,749,781
40,132,657,796
41,140,916,587
42,128,782,673
43,164,707,744
44,136,794,710
45,144,769,696
46,152,783,731
47,128,837,659
48,136,636,820
49,120,693,822
50,136,712,766
51,144,673,772
52,136,628,825
53,144,660,782
54,156,570,856
55,132,606,887
56,152,823,674
57,156,577,862
58,144,829,695
59,156,791,700
60,128,666,870
61,140,764,711
62,136,724,757
63,140,720,790
64,144,771,664
65,152,742,778
66,160,828,729
67,152,977,493
68,156,668,792
69,120,681,793
70,148,702,733
71,140,682,782
72,144,746,686
73,144,854,685
74,132,644,840
75,140,608,895
76,140,840,668
77,124,821,632
78,144,675,758
79,156,624,831
80,136,707,749
81,156,825,609
82,120,745,744
83,132,785,677
84,136,799,660
85,124,669,832
86,152,761,691
87,164,873,593
88,132,749,699
89,152,742,759
90,132,734,741
91,144,830,646
92,144,720,707
93,164,729,705
94,128,751,771
95,148,628,840
96,144,778,698
97,144,876,668
98,132,670,807
99,172,581,860
100,152,799,660
101,192,570,791
102,156,739,687
103,148,676,804
104,164,573,842
105,144,720,757
106,148,633,819
107,136,605,858
108,124,673,773
109,152,671,807
110,132,903,556
111,148,710,730
112,164,663,781
113,164,748,706
114,136,693,801
115,156,799,636
116,136,702,783
117,124,720,735
118,168,697,763
119,148,712,820
120,140,888,603
121,144,768,680
122,140,869,605
123,144,573,933
124,148,815,677
125,160,777,648
126,152,619,810
127,148,684,761
